objectid,title,creator,publisher,date,date_is_approximate,description,subject,relation,contributing_institution,publisher_digital,source,type,format_original,format,identifier,digitization specifications,rights,rightsstatement,language,metadata_cataloger,metadata_assistants,scanner_technician,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,display_template,filename,object_location,image_small,image_thumb,errors
ijc_ray_brown_001,"Ray Brown, Jeff Hamilton, and Benny Green at Bermuda Onion Club","Barry Thomson (Toronto, Ontario)",,1992-09,,"Ray Brown, Jeff Hamilton, and Benny Green at Bermuda Onion Club, Toronto, September 1992.  11 x 14 inch black and white photograph by Barry Thomson (Toronto, Ontario).","Brown, Ray, 1926-2002; Brown, Ray--Archives;",Ray Brown Digital Collection,University of Idaho Library,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Ray Brown Collection - IJC MG 020, International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",Image;StillImage,Black and White Photograph,image/jpeg,IJC_MG20_001,Archival Master file is a TIFF; use image is a JPEG.,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,Kevin Dobbins,Kevin Dobbins,2013-01-30,2014-04-17,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijc_brown/id/0,0,1.jp2,/ijc_brown/image/1.jp2,image,ijc_ray_brown_001.jpg,https://objects.lib.uidaho.edu/ijc/brown_ray/ijc_ray_brown_001.jpg,https://objects.lib.uidaho.edu/ijc/brown_ray/small/ijc_ray_brown_001_sm.jpg,https://objects.lib.uidaho.edu/ijc/brown_ray/thumbs/ijc_ray_brown_001_th.jpg,
ijc_ray_brown_002,Ray Brown,,,1985,y,Ray Brown.  9 1/2 x 7 inch black and white photograph.,"Brown, Ray, 1926-2002; Brown, Ray--Archives;",Ray Brown Digital Collection,University of Idaho Library,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Ray Brown Collection - IJC MG 024, International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",Image;StillImage,Black and White Photograph,image/jpeg,IJC_MG20_005,Archival Master file is a TIFF; use image is a JPEG.,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,Kevin Dobbins,Kevin Dobbins,2013-01-30,2014-04-17,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijc_brown/id/1,1,10.jp2,/ijc_brown/image/10.jp2,image,ijc_ray_brown_002.jpg,https://objects.lib.uidaho.edu/ijc/brown_ray/ijc_ray_brown_002.jpg,https://objects.lib.uidaho.edu/ijc/brown_ray/small/ijc_ray_brown_002_sm.jpg,https://objects.lib.uidaho.edu/ijc/brown_ray/thumbs/ijc_ray_brown_002_th.jpg,
ijc_ray_brown_003,Playboy All-Star Jazz Poll Winner 1967,Playboy All-Star Jazz Poll,,1967,,"Ray Brown, 1967.  2 1/2 inch Playboy All-Star Jazz Poll Winner medal.","Brown, Ray, 1926-2002; Brown, Ray--Archives;",Ray Brown Digital Collection,University of Idaho Library,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Ray Brown Collection - IJC MG 034, International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",Image;StillImage,Medal,application/pdf,IJC_MG20_015,Archival Master file is a TIFF; use image is a JPEG.,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,Kevin Dobbins,Kevin Dobbins,2013-01-30,2014-04-17,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijc_brown/id/2,2,11.pdf,/ijc_brown/image/11.pdf,pdf,ijc_ray_brown_003.pdf,https://objects.lib.uidaho.edu/ijc/brown_ray/ijc_ray_brown_003.pdf,https://objects.lib.uidaho.edu/ijc/brown_ray/small/ijc_ray_brown_003_sm.jpg,https://objects.lib.uidaho.edu/ijc/brown_ray/thumbs/ijc_ray_brown_003_th.jpg,
ijc_ray_brown_004,"Down Beat Award, 1953",Down Beat,,1953,,"Down Beat Award presented to Ray Brown Bass First Place, 1953.  10 x 6 3/8 inch wood finish plaque with musical theme and engraved plate.","Brown, Ray, 1926-2002; Brown, Ray--Archives;",Ray Brown Digital Collection,University of Idaho Library,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Ray Brown Collection - IJC MG 027, International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",Image;StillImage,Plaque,image/jpeg,IJC_MG20_008,Archival Master file is a TIFF; use image is a JPEG.,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,Kevin Dobbins,Kevin Dobbins,2013-01-30,2014-04-17,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijc_brown/id/3,3,12.jp2,/ijc_brown/image/12.jp2,image,ijc_ray_brown_004.jpg,https://objects.lib.uidaho.edu/ijc/brown_ray/ijc_ray_brown_004.jpg,https://objects.lib.uidaho.edu/ijc/brown_ray/small/ijc_ray_brown_004_sm.jpg,https://objects.lib.uidaho.edu/ijc/brown_ray/thumbs/ijc_ray_brown_004_th.jpg,
ijc_ray_brown_005,"Playboy All-Star Jazz and Pop Poll Winner 1970, Bass",Playboy All-Star Jazz Poll,,1970,,"Ray Brown, 1970.  2 1/2 inch Playboy All-Star Jazz and Pop Poll Winner medal.","Brown, Ray, 1926-2002; Brown, Ray--Archives;",Ray Brown Digital Collection,University of Idaho Library,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Ray Brown Collection - IJC MG 035, International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",Image;StillImage,Medal,application/pdf,IJC_MG20_016,Archival Master file is a TIFF; use image is a JPEG.,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,Kevin Dobbins,Kevin Dobbins,2013-01-30,2014-04-17,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijc_brown/id/4,4,13.pdf,/ijc_brown/image/13.pdf,pdf,ijc_ray_brown_005.pdf,https://objects.lib.uidaho.edu/ijc/brown_ray/ijc_ray_brown_005.pdf,https://objects.lib.uidaho.edu/ijc/brown_ray/small/ijc_ray_brown_005_sm.jpg,https://objects.lib.uidaho.edu/ijc/brown_ray/thumbs/ijc_ray_brown_005_th.jpg,
ijc_ray_brown_006,Playboy All-Star Jazz and Pop Poll Winner 1971,Playboy All-Star Jazz Poll,,1971,,"Ray Brown, Bass, 1971.  2 1/2 inch Playboy All-Star Jazz and Pop Poll Winner medal.","Brown, Ray, 1926-2002; Brown, Ray--Archives;",Ray Brown Digital Collection,University of Idaho Library,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Ray Brown Collection - IJC MG 036, International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",Image;StillImage,Medal,application/pdf,IJC_MG20_017,Archival Master file is a TIFF; use image is a JPEG.,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,Kevin Dobbins,Kevin Dobbins,2013-01-30,2014-04-17,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijc_brown/id/7,7,16.pdf,/ijc_brown/image/16.pdf,pdf,ijc_ray_brown_006.pdf,https://objects.lib.uidaho.edu/ijc/brown_ray/ijc_ray_brown_006.pdf,https://objects.lib.uidaho.edu/ijc/brown_ray/small/ijc_ray_brown_006_sm.jpg,https://objects.lib.uidaho.edu/ijc/brown_ray/thumbs/ijc_ray_brown_006_th.jpg,
ijc_ray_brown_007,Ray Brown (signed),,,1985,y,Ray Brown (signed).  10 x 8 inch black and white photograph.,"Brown, Ray, 1926-2002; Brown, Ray--Archives;",Ray Brown Digital Collection,University of Idaho Library,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Ray Brown Collection - IJC MG 021, International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",Image;StillImage,Black and White Photograph,image/jpeg,IJC_MG20_002,Archival Master file is a TIFF; use image is a JPEG.,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,Kevin Dobbins,Kevin Dobbins,2013-01-30,2014-04-17,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijc_brown/id/9,9,2.jp2,/ijc_brown/image/2.jp2,image,ijc_ray_brown_007.jpg,https://objects.lib.uidaho.edu/ijc/brown_ray/ijc_ray_brown_007.jpg,https://objects.lib.uidaho.edu/ijc/brown_ray/small/ijc_ray_brown_007_sm.jpg,https://objects.lib.uidaho.edu/ijc/brown_ray/thumbs/ijc_ray_brown_007_th.jpg,
ijc_ray_brown_008,"Ray Brown playing the bass, facing right",,,1970,y,"Ray Brown playing the bass, facing right.  10 x 8 inch black and white photograph.","Brown, Ray, 1926-2002; Brown, Ray--Archives;",Ray Brown Digital Collection,University of Idaho Library,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Ray Brown Collection - IJC MG 022, International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",Image;StillImage,Black and White Photograph,image/jpeg,IJC_MG20_003,Archival Master file is a TIFF; use image is a JPEG.,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,Kevin Dobbins,Kevin Dobbins,2013-01-30,2014-04-17,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijc_brown/id/10,10,3.jp2,/ijc_brown/image/3.jp2,image,ijc_ray_brown_008.jpg,https://objects.lib.uidaho.edu/ijc/brown_ray/ijc_ray_brown_008.jpg,https://objects.lib.uidaho.edu/ijc/brown_ray/small/ijc_ray_brown_008_sm.jpg,https://objects.lib.uidaho.edu/ijc/brown_ray/thumbs/ijc_ray_brown_008_th.jpg,
ijc_ray_brown_009,"Playboy All-Star Jazz Poll Winner 1963, Special Award, Bass",Playboy All-Star Jazz Poll,,1963,,"Ray Brown, Bass, Special Award, 1963.  2 1/2 inch Playboy All-Star Jazz Poll Winner medal.","Brown, Ray, 1926-2002; Brown, Ray--Archives;",Ray Brown Digital Collection,University of Idaho Library,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Ray Brown Collection - IJC MG 031, International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",Image;StillImage,Medal,application/pdf,IJC_MG20_012,Archival Master file is a TIFF; use image is a JPEG.,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,Kevin Dobbins,Kevin Dobbins,2013-01-30,2014-04-17,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijc_brown/id/11,11,4.pdf,/ijc_brown/image/4.pdf,pdf,ijc_ray_brown_009.pdf,https://objects.lib.uidaho.edu/ijc/brown_ray/ijc_ray_brown_009.pdf,https://objects.lib.uidaho.edu/ijc/brown_ray/small/ijc_ray_brown_009_sm.jpg,https://objects.lib.uidaho.edu/ijc/brown_ray/thumbs/ijc_ray_brown_009_th.jpg,
ijc_ray_brown_010,"Playboy All-Star Jazz Poll Winner 1964, Bass",Playboy All-Star Jazz Poll,,1964,,"Ray Brown, Bass 1964.  2 1/2 inch Playboy All-Star Jazz Poll Winner medal.","Brown, Ray, 1926-2002; Brown, Ray--Archives;",Ray Brown Digital Collection,University of Idaho Library,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Ray Brown Collection - IJC MG 032, International Jazz Collections, University of Idaho Special Collections and Archives, https://www.ijc.uidaho.edu",Image;StillImage,Medal,application/pdf,IJC_MG20_013,Archival Master file is a TIFF; use image is a JPEG.,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,Kevin Dobbins,Kevin Dobbins,2013-01-30,2014-04-17,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijc_brown/id/12,12,5.pdf,/ijc_brown/image/5.pdf,pdf,ijc_ray_brown_010.pdf,https://objects.lib.uidaho.edu/ijc/brown_ray/ijc_ray_brown_010.pdf,https://objects.lib.uidaho.edu/ijc/brown_ray/small/ijc_ray_brown_010_sm.jpg,https://objects.lib.uidaho.edu/ijc/brown_ray/thumbs/ijc_ray_brown_010_th.jpg,
