objectid,parentid,Title,Creator,Publisher,Date Original,Date is Approximate?,Description,Subject (LCSH),Relation,Contributing Institution,Publisher Digital,Source,Listing Code,Resource Identifier,Format Original,Format Digital,Type,Digitization Specifications,Rights,Language,Filename,OCLC number,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
ijc_jw_001,,Here's That Rainy Day,"Ott, Horace",,1940,y,1 Score (19 p.) + 7 parts; includes vocals,"Willaims, Joe (1918-1999); Williams, Joe--Archives; Music--Scores; Jazz--Scores;",Joe Williams Collection,International Jazz Collections,University of Idaho Library,"MG 005, Container 30, Folder 409",IJC005,JW.409,Arrangement,image/jpg,Image;StillImage,"400 dpi, 8-bit depth grayscale JPG; Minolta PS 7000 Scanner, scanned with  Adobe Photoshop CS2 version 9.0.2, Archival Master file is a TIFF","Digital image copyright 2008, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",English,,,2014-04-17,2014-04-17,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/293,293,294.cpd,/ijcw/image/294.cpd
ijc_jw_002,ijc_jw_001,Here's That Rainy Day,,,,,,,,,,,,JW.409l_Drums,,image/jpg,,,,,,,2009-08-27,2009-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/292,292,293.jpg,/ijcw/image/293.jpg
ijc_jw_003,ijc_jw_001,Here's That Rainy Day,,,,,,,,,,,,JW.409k_Guitar 2,,image/jpg,,,,,,,2009-08-27,2009-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/291,291,292.jpg,/ijcw/image/292.jpg
ijc_jw_004,ijc_jw_001,Here's That Rainy Day,,,,,,,,,,,,JW.409j_Guitar,,image/jpg,,,,,,,2009-08-27,2009-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/290,290,291.jpg,/ijcw/image/291.jpg
ijc_jw_005,ijc_jw_001,Here's That Rainy Day,,,,,,,,,,,,JW.409i_Guitar2 2,,image/jpg,,,,,,,2009-08-27,2009-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/289,289,290.jpg,/ijcw/image/290.jpg
ijc_jw_006,ijc_jw_001,Here's That Rainy Day,,,,,,,,,,,,JW.409h_Guitar2,,image/jpg,,,,,,,2009-08-27,2009-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/288,288,289.jpg,/ijcw/image/289.jpg
ijc_jw_007,ijc_jw_001,Here's That Rainy Day,,,,,,,,,,,,JW.409g_Guitar1 2,,image/jpg,,,,,,,2009-08-27,2009-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/287,287,288.jpg,/ijcw/image/288.jpg
ijc_jw_008,ijc_jw_001,Here's That Rainy Day,,,,,,,,,,,,JW.409f_Guitar1,,image/jpg,,,,,,,2009-08-27,2009-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/286,286,287.jpg,/ijcw/image/287.jpg
ijc_jw_009,ijc_jw_001,Here's That Rainy Day,,,,,,,,,,,,JW.409e_Fender 2,,image/jpg,,,,,,,2009-08-27,2009-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/285,285,286.jpg,/ijcw/image/286.jpg
ijc_jw_010,ijc_jw_001,Here's That Rainy Day,,,,,,,,,,,,JW.409d_Fender,,image/jpg,,,,,,,2009-08-27,2009-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/284,284,285.jpg,/ijcw/image/285.jpg
ijc_jw_011,ijc_jw_001,Here's That Rainy Day,,,,,,,,,,,,JW.409c_Piano 2,,image/jpg,,,,,,,2009-08-27,2009-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/283,283,284.jpg,/ijcw/image/284.jpg
ijc_jw_012,ijc_jw_001,Here's That Rainy Day,,,,,,,,,,,,JW.409b_Piano,,image/jpg,,,,,,,2009-08-27,2009-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/282,282,283.jpg,/ijcw/image/283.jpg
ijc_jw_013,ijc_jw_001,Here's That Rainy Day,,,,,,,,,,,,JW.409a_Vocal,,image/jpg,,,,,,,2009-08-27,2009-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/281,281,282.jpg,/ijcw/image/282.jpg
ijc_jw_014,,Ask Anybody,"Pleis, Jack",,1940,y,1 Score (7 p.) + 2 parts,"Willaims, Joe (1918-1999); Williams, Joe--Archives; Music--Scores; Jazz--Scores;",Joe Williams Collection,International Jazz Collections,University of Idaho Library,"MG 005, Container 28, Folder 376",IJC005,JW.376,Arrangement,image/jpg,Image;StillImage,"400 dpi, 8-bit depth grayscale JPG; Minolta PS 7000 Scanner, scanned with  Adobe Photoshop CS2 version 9.0.2, Archival Master file is a TIFF","Digital image copyright 2008, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",English,,,2014-04-17,2014-04-17,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/280,280,281.cpd,/ijcw/image/281.cpd
ijc_jw_015,ijc_jw_014,Ask Anybody,,,,,,,,,,,,JW.376d_Piano2,,image/jpg,,,,,,,2009-08-27,2009-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/279,279,280.jpg,/ijcw/image/280.jpg
ijc_jw_016,ijc_jw_014,Ask Anybody,,,,,,,,,,,,JW.376c_Piano,,image/jpg,,,,,,,2009-08-27,2009-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/278,278,279.jpg,/ijcw/image/279.jpg
ijc_jw_017,ijc_jw_014,Ask Anybody,,,,,,,,,,,,JW.376b_Bass2,,image/jpg,,,,,,,2009-08-27,2009-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/277,277,278.jpg,/ijcw/image/278.jpg
ijc_jw_018,ijc_jw_014,Ask Anybody,,,,,,,,,,,,JW.376a_Bass,,image/jpg,,,,,,,2009-08-27,2009-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/276,276,277.jpg,/ijcw/image/277.jpg
ijc_jw_019,,They Can't Take That Away from Me,"Smith, Lonnie L.",,1940,y,"2 copies; 1 score (10 p.) + 9 parts, with vocals; 1 score (2 p.) 2 parts","Willaims, Joe (1918-1999); Williams, Joe--Archives; Music--Scores; Jazz--Scores;",Joe Williams Collection,International Jazz Collections,University of Idaho Library,"MG 005, Container 24, Folder 327",IJC005,JW.327,Arrangement,image/jpg,Image;StillImage,"400 dpi, 8-bit depth grayscale JPG; Minolta PS 7000 Scanner, scanned with  Adobe Photoshop CS2 version 9.0.2, Archival Master file is a TIFF","Digital image copyright 2008, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.",English,,,2014-04-17,2014-04-17,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/275,275,276.cpd,/ijcw/image/276.cpd
ijc_jw_020,ijc_jw_019,They Can't Take That Away from Me,,,,,,,,,,,,JW.327i_Drums,,image/jpg,,,,,,,2009-08-27,2009-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/274,274,275.jpg,/ijcw/image/275.jpg
ijc_jw_021,ijc_jw_019,They Can't Take That Away from Me,,,,,,,,,,,,JW.327h-Bass,,image/jpg,,,,,,,2009-08-27,2009-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/273,273,274.jpg,/ijcw/image/274.jpg
ijc_jw_022,ijc_jw_019,They Can't Take That Away from Me,,,,,,,,,,,,JW.327g_Piano,,image/jpg,,,,,,,2009-08-27,2009-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/272,272,273.jpg,/ijcw/image/273.jpg
ijc_jw_023,ijc_jw_019,They Can't Take That Away from Me,,,,,,,,,,,,JW.327f_Guitar,,image/jpg,,,,,,,2009-08-27,2009-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/271,271,272.jpg,/ijcw/image/272.jpg
ijc_jw_024,ijc_jw_019,They Can't Take That Away from Me,,,,,,,,,,,,JW.327e_Trumpet,,image/jpg,,,,,,,2009-08-27,2009-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/ijcw/id/270,270,271.jpg,/ijcw/image/271.jpg
